URL_ID,URL,FILE NUMBER,Positive score,Negative Score,Polarity Score,subjectivity_score,avg sentence length,complex words count,% of complex words,fog index,avg No of Words Per sentence,Syllable Words,Personal pronouns,Avg Words,Words Count
blackassign0035,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,35,29,12,0.414634136,0.022280472,99.84444444,191,0.250327654,40.03790884,16.53333333,1433,7,4.972477064,763
blackassign0036,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,37,44,13,0.54385964,0.040735874,118.5,172,0.226018397,47.49040736,20.36111111,1356,2,4.689881735,761
blackassign0037,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,38,80,41,0.322314047,0.01748095,156.2682927,574,0.257283729,62.61023056,26.3902439,4237,11,4.810398924,2231
blackassign0038,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,39,63,69,-0.045454545,-0.002818225,117.2403846,543,0.255049319,46.99817357,19.07692308,3945,1,4.844058243,2129
blackassign0039,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,40,47,22,0.362318835,0.020593081,139.1071429,388,0.319604613,55.77069899,21.44642857,2562,10,5.473640857,1214
blackassign0040,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,41,42,29,0.183098589,0.01010101,104.4084507,329,0.255633256,41.86563358,17.42253521,2402,6,4.853923854,1287
blackassign0041,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,42,75,24,0.51515151,0.029344074,158.2698413,419,0.241081703,63.40436919,26.93650794,3249,22,4.79689298,1738
blackassign0042,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,43,82,24,0.547169806,0.033937975,127.7088608,455,0.266237566,51.19003933,20.98734177,3305,11,4.979520187,1709
blackassign0043,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,44,28,0,0.999999964,0.054474708,142.5217391,168,0.326848249,57.13943495,22.26086957,1097,0,5.426070039,514
blackassign0044,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,45,104,39,0.454545451,0.034648188,1169,430,0.229211087,467.6916844,201.6666667,3353,16,4.645522388,1876
blackassign0045,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,46,35,0,0.999999971,0.035787321,105.6964286,310,0.316973415,42.40536079,17.21428571,1930,0,5.122699387,978
blackassign0046,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,47,15,6,0.428571408,0.012244898,108.9069767,240,0.326530612,43.69340294,16.8372093,1508,1,5.443537415,735
blackassign0047,https://insights.blackcoffer.com/evolution-of-advertising-industry/,48,5,4,0.111111099,0.003021148,148.7142857,102,0.3081571,59.60897713,23.42857143,662,2,5.341389728,331
blackassign0048,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,50,35,69,-0.326923074,-0.02425107,148.0175439,397,0.283166904,59.32028431,24.31578947,2756,2,5.069900143,1402
blackassign0049,https://insights.blackcoffer.com/covid-19-environmental-impact-for-the-future/,51,21,15,0.166666662,0.008185539,144.7,186,0.253751705,57.98150068,24.4,1394,4,4.964529332,733
blackassign0050,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,52,74,38,0.321428569,0.018045113,123.7934783,460,0.230576441,49.60962188,21.15217391,3677,10,4.779448622,1995
blackassign0051,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,53,53,3,0.892857127,0.07256894,91.84444444,196,0.284470247,36.85156588,15.13333333,1329,4,5.075471698,689
blackassign0052,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,54,9,1,0.79999992,0.019950125,136.5882353,92,0.229426434,54.72706469,22.76470588,755,0,4.867830424,401
blackassign0053,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,55,36,9,0.599999987,0.022978723,139.2916667,292,0.248510638,55.81607092,23.875,2138,4,4.755744681,1175
blackassign0054,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,56,28,8,0.55555554,0.031496063,160.44,198,0.311811024,64.30072441,24.88,1330,1,5.376377953,635
blackassign0055,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,57,20,9,0.379310332,0.0275,83,102,0.255,33.302,13.62068966,797,0,5.1025,400
blackassign0056,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,58,6,0,0.999999833,0.035714286,96.90909091,54,0.321428571,38.89220779,15.27272727,350,2,5.410714286,168
blackassign0057,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,59,27,37,-0.156249998,-0.011709602,82.78571429,168,0.196721311,33.19297424,14.48214286,1492,19,4.544496487,854
blackassign0058,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,60,11,2,0.692307639,0.047619047,100.4545455,47,0.248677249,40.28128908,17.18181818,364,1,4.904761905,189
blackassign0059,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,61,54,19,0.479452048,0.029610829,122.6349206,418,0.353637902,49.19542341,18.52380952,2586,0,5.602368866,1182
blackassign0060,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,62,14,18,-0.124999996,-0.00729927,154.6190476,153,0.27919708,61.95929788,25.52380952,1034,11,4.98540146,548
blackassign0061,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,63,24,37,-0.213114751,-0.011981567,124.5,253,0.233179724,49.89327189,21.42,1984,7,4.796313364,1085
blackassign0062,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,64,33,49,-0.195121949,-0.009003939,146.1466667,523,0.294316263,58.57639317,23.05333333,3578,16,5.237478897,1777
blackassign0063,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,65,58,23,0.43209876,0.019618834,143.5571429,380,0.213004484,57.50805894,25.14285714,3205,19,4.685538117,1784
blackassign0064,https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,66,48,26,0.297297293,0.014735432,125.2058824,339,0.227059612,50.17317679,21.52941176,2714,18,4.76758205,1493
blackassign0065,https://insights.blackcoffer.com/will-we-ever-colonize-outer-space/,67,28,7,0.599999983,0.023026316,72.05882353,194,0.212719298,28.90861713,13.08823529,1550,1,4.471491228,912
blackassign0066,https://insights.blackcoffer.com/what-is-the-chance-homo-sapiens-will-survive-for-the-next-500-years/,68,53,8,0.737704906,0.030364372,133.7627119,307,0.207152497,53.58794574,24.10169492,2497,4,4.405533063,1482
blackassign0067,https://insights.blackcoffer.com/why-does-your-business-need-a-chatbot/,69,38,6,0.727272711,0.064908722,159.2352941,118,0.239350913,63.78985801,28,904,8,4.559837728,493
blackassign0068,https://insights.blackcoffer.com/how-you-lead-a-project-or-a-team-without-any-technical-expertise/,70,50,16,0.515151507,0.020643594,148.6969697,469,0.28476017,59.59269195,24.22727273,3238,8,5.027929569,1647
blackassign0069,https://insights.blackcoffer.com/can-you-be-great-leader-without-technical-expertise/,71,35,75,-0.36363636,-0.038131554,85.32835821,233,0.222116301,34.2201898,14.88059701,1898,13,4.563393708,1049
blackassign0070,https://insights.blackcoffer.com/how-does-artificial-intelligence-affect-the-environment/,72,76,23,0.53535353,0.043194784,85.74025974,217,0.176854116,34.36684554,15.45454545,2058,5,4.473512632,1227
blackassign0071,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes-2/,73,28,46,-0.24324324,-0.014742015,151.4468085,262,0.214578215,60.66455469,25.5106383,2192,4,4.886158886,1221
blackassign0072,https://insights.blackcoffer.com/is-perfection-the-greatest-enemy-of-productivity/,74,38,26,0.187499997,0.008141113,109.8271605,404,0.274084125,44.04049785,17.80246914,2887,9,5.111940299,1474
blackassign0073,https://insights.blackcoffer.com/global-financial-crisis-2008-causes-effects-and-its-solution/,75,36,83,-0.39495798,-0.042688465,87.69565217,254,0.230699364,35.17054062,15.17391304,2007,15,4.607629428,1101
blackassign0074,https://insights.blackcoffer.com/gender-diversity-and-equality-in-the-tech-industry/,76,55,35,0.22222222,0.012376238,166.8,363,0.224628713,66.80985149,28.83636364,2844,5,4.729579208,1616
blackassign0075,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes/,77,25,13,0.315789465,0.015625,196.9166667,187,0.243489583,78.8640625,31.95833333,1503,1,5.186197917,768
blackassign0076,https://insights.blackcoffer.com/how-small-business-can-survive-the-coronavirus-crisis/,78,40,25,0.230769227,0.012448133,205.5135135,326,0.270539419,82.31362117,32.18918919,2406,1,5.352697095,1205
blackassign0077,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors-and-food-stalls/,79,42,52,-0.106382978,-0.005733945,142.4246575,476,0.27293578,57.07903733,23.35616438,3355,6,5.025802752,1744
blackassign0078,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors/,80,38,12,0.51999999,0.007172414,83.16460905,846,0.23337931,33.35919535,14.29218107,6095,7,4.683862069,3625
blackassign0079,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-tourism-aviation-industries/,81,41,54,-0.136842104,-0.007178354,127.8795181,467,0.257868581,51.25495466,21.37349398,3423,12,4.927112093,1811
blackassign0080,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-sports-events-around-the-world/,82,30,71,-0.40594059,-0.026762402,164.3833333,537,0.350522193,65.89354221,25.28333333,3266,0,5.48694517,1532
blackassign0081,https://insights.blackcoffer.com/changing-landscape-and-emerging-trends-in-the-indian-it-ites-industry/,83,5,3,0.249999969,0.010582011,117.1111111,41,0.216931217,46.93121693,20.44444444,342,2,4.650793651,189
blackassign0082,https://insights.blackcoffer.com/online-gaming-adolescent-online-gaming-effects-demotivated-depression-musculoskeletal-and-psychosomatic-symptoms/,84,46,4,0.839999983,0.040114613,134.5813953,247,0.23591213,53.92692299,22.6744186,1827,2,4.637058262,1047
blackassign0083,https://insights.blackcoffer.com/human-rights-outlook/,85,51,34,0.199999998,0.009179266,90.39495798,419,0.226241901,36.24847995,15.43697479,3439,6,4.880669546,1852
blackassign0084,https://insights.blackcoffer.com/how-voice-search-makes-your-business-a-successful-business/,86,61,16,0.584415577,0.024363833,121.5795455,506,0.273957769,48.74140129,20.07954545,3396,5,4.883595019,1847
blackassign0085,https://insights.blackcoffer.com/how-the-covid-19-crisis-is-redefining-jobs-and-services/,87,38,34,0.055555555,0.003676471,133.875,269,0.247242647,53.64889706,22.375,2056,3,4.963235294,1088
blackassign0086,https://insights.blackcoffer.com/how-to-increase-social-media-engagement-for-marketers/,88,19,44,-0.396825391,-0.013858093,178.031746,506,0.280487805,71.32489353,28.3968254,3491,1,5.260532151,1804
blackassign0087,https://insights.blackcoffer.com/impacts-of-covid-19-on-streets-sides-food-stalls/,89,20,42,-0.354838704,-0.022132797,129.8666667,245,0.246478873,52.04525822,21.62222222,1862,4,4.945674044,994
blackassign0088,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets-2/,90,43,48,-0.054945054,-0.004045307,96.61643836,298,0.241100324,38.74301547,16.76712329,2313,37,4.775080906,1236
blackassign0089,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-5/,91,31,28,0.050847457,0.002697842,188.0285714,283,0.254496403,75.31322713,31.6,2106,12,4.955035971,1112
blackassign0090,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-4/,92,26,44,-0.257142853,-0.013473054,142.9107143,362,0.270958084,57.27266895,22.83928571,2540,4,5.074850299,1336
blackassign0091,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-2/,93,6,3,0.333333296,0.015075377,106.4,40,0.201005025,42.64040201,19.3,340,2,4.427135678,199
blackassign0092,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-3/,94,34,50,-0.190476188,-0.013468013,111.2166667,278,0.234006734,44.58026936,19.26666667,2149,13,4.694444444,1188
blackassign0093,https://insights.blackcoffer.com/travel-and-tourism-outlook/,95,13,25,-0.315789465,-0.018461538,119.46875,168,0.258461538,47.89088462,19.875,1212,4,4.952307692,650
blackassign0094,https://insights.blackcoffer.com/gaming-disorder-and-effects-of-gaming-on-health/,96,31,57,-0.295454542,-0.022807018,138.0196078,321,0.281578947,55.32047472,22.09803922,2250,2,5.230701754,1140
blackassign0095,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation/,97,33,35,-0.029411764,-0.001784121,159.3076923,247,0.220338983,63.81121252,27.87179487,1978,6,4.60749331,1121
blackassign0096,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation-2/,98,7,3,0.39999996,0.009876543,200.0769231,137,0.338271605,80.16607787,30.38461538,816,0,5.479012346,405
blackassign0097,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-office-space-and-co-working-industries/,99,27,3,0.799999973,0.03785489,117.7333333,126,0.19873817,47.1728286,20.66666667,1090,4,4.640378549,634
blackassign0098,https://insights.blackcoffer.com/contribution-of-handicrafts-visual-arts-literature-in-the-indian-economy/,100,38,58,-0.208333331,-0.018501388,200.8484848,304,0.281221092,80.45188238,31.63636364,2114,3,5.196114709,1081
blackassign0099,https://insights.blackcoffer.com/how-covid-19-is-impacting-payment-preferences/,,,,,,,,,,,,,,
blackassign0100,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,,,,,,,,,,,,,,
